Environment                   Seed       Algorithm   Error  Episode  Reward  Feedback
MountainCarContinuous-v0      dw63724    DCOACH      0      0        -23     0.7718
MountainCarContinuous-v0      dw63724    DCOACH      0      1        -12     0.2973
MountainCarContinuous-v0      dw63724    DCOACH      0      2        -63     0.8028
MountainCarContinuous-v0      dw63724    DCOACH      0      3        -51     0.6787
MountainCarContinuous-v0      dw63724    DCOACH      0      4        -31     0.5566
MountainCarContinuous-v0      dw63724    DCOACH      0      5        -40     0.4905
MountainCarContinuous-v0      dw63724    DCOACH      0      6        -76     0.5225
MountainCarContinuous-v0      dw63724    DCOACH      0      7        -78     0.4194
MountainCarContinuous-v0      dw63724    DCOACH      0      8        -90     0.4655
MountainCarContinuous-v0      dw63724    DCOACH      0      9        -69     0.4595
MountainCarContinuous-v0      dw63724    DCOACH      0      10       -26     0.1972
MountainCarContinuous-v0      dw63724    DCOACH      0      11       -59     0.3884
MountainCarContinuous-v0      dw63724    DCOACH      0      12       -78     0.5415
MountainCarContinuous-v0      dw63724    DCOACH      0      13       -86     0.2492
MountainCarContinuous-v0      dw63724    DCOACH      0      14       -95     0.4274
MountainCarContinuous-v0      dw63724    DCOACH      0      15       -84     0.4184
MountainCarContinuous-v0      dw63724    DCOACH      0      16       -91     0.5355
MountainCarContinuous-v0      dw63724    DCOACH      0      17       -98     0.2372
MountainCarContinuous-v0      dw63724    DCOACH      0      18       -99     0.2002
MountainCarContinuous-v0      dw63724    DCOACH      0      19       -99     0.3634
MountainCarContinuous-v0      dw63724    DCOACH      0      20       -89     0.2462
MountainCarContinuous-v0      dw63724    DCOACH      0      21       -88     0.7878
MountainCarContinuous-v0      dw63724    DCOACH      0      22       -65     0.1191
MountainCarContinuous-v0      dw63724    DCOACH      0      23       -55     0.4224
MountainCarContinuous-v0      dw63724    DCOACH      0      24       -40     0.0871
MountainCarContinuous-v0      dw63724    DCOACH      0      25       -18     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      26       -15     0.1281
MountainCarContinuous-v0      dw63724    DCOACH      0      27       -60     0.7958
MountainCarContinuous-v0      dw63724    DCOACH      0      28       -17     0.1732
MountainCarContinuous-v0      dw63724    DCOACH      0      29       -6      0.2893
MountainCarContinuous-v0      dw63724    DCOACH      0      30       -14     0.5836
MountainCarContinuous-v0      dw63724    DCOACH      0      31       -16     0.3614
MountainCarContinuous-v0      dw63724    DCOACH      0      32       -4      0.1471
MountainCarContinuous-v0      dw63724    DCOACH      0      33       -1      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      34       -5      0.3083
MountainCarContinuous-v0      dw63724    DCOACH      0      35       -7      0.1201
MountainCarContinuous-v0      dw63724    DCOACH      0      36       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      37       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      38       -14     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      39       -14     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      40       -10     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      41       -10     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      42       -11     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      43       -7      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      44       -10     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      45       -8      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      46       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      47       -14     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      48       -7      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      49       -7      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      50       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      51       -7      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      52       -10     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      53       -8      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      54       -12     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      55       -12     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      56       -15     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      57       -11     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      58       -8      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      59       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      60       -8      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      61       -8      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      62       -8      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      63       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      64       -10     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      65       -15     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      66       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      67       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      68       -7      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      69       -8      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      70       -15     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      71       -8      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      72       -8      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      73       -7      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      74       -16     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      75       -12     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      76       -9      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      77       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      78       -12     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      79       -12     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      80       -12     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      81       -16     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      82       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      83       -13     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      84       -11     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      85       -10     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      86       -7      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      87       -7      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      88       -9      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      89       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      90       -12     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      91       -7      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      92       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      93       -16     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      94       -10     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      95       -15     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      96       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      97       -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      98       -13     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      99       -8      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      100      -14     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      101      -7      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      102      -6      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      103      -7      0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      104      -10     0.0000
MountainCarContinuous-v0      dw63724    DCOACH      0      105      -6      0.0000
