Environment                   Seed       Algorithm  Error  Episode  Reward  Feedback
MountainCarContinuous-v0      dw68489    DCOACH   0      0        -1      0.2963
MountainCarContinuous-v0      dw68489    DCOACH   0      1        -1      0.2863
MountainCarContinuous-v0      dw68489    DCOACH   0      2        90      0.8304
MountainCarContinuous-v0      dw68489    DCOACH   0      3        78      0.7706
MountainCarContinuous-v0      dw68489    DCOACH   0      4        70      0.5213
MountainCarContinuous-v0      dw68489    DCOACH   0      5        86      0.7299
MountainCarContinuous-v0      dw68489    DCOACH   0      6        87      0.7603
MountainCarContinuous-v0      dw68489    DCOACH   0      7        84      0.6927
MountainCarContinuous-v0      dw68489    DCOACH   0      8        73      0.5922
MountainCarContinuous-v0      dw68489    DCOACH   0      9        86      0.5459
MountainCarContinuous-v0      dw68489    DCOACH   0      10       78      0.6388
MountainCarContinuous-v0      dw68489    DCOACH   0      11       76      0.1029
MountainCarContinuous-v0      dw68489    DCOACH   0      12       78      0.4646
MountainCarContinuous-v0      dw68489    DCOACH   0      13       -84     0.0180
MountainCarContinuous-v0      dw68489    DCOACH   0      14       62      0.4006
MountainCarContinuous-v0      dw68489    DCOACH   0      15       84      0.6944
MountainCarContinuous-v0      dw68489    DCOACH   0      16       80      0.4473
MountainCarContinuous-v0      dw68489    DCOACH   0      17       78      0.3019
MountainCarContinuous-v0      dw68489    DCOACH   0      18       84      0.6426
MountainCarContinuous-v0      dw68489    DCOACH   0      19       88      0.7297
MountainCarContinuous-v0      dw68489    DCOACH   0      20       90      0.8606
MountainCarContinuous-v0      dw68489    DCOACH   0      21       90      0.5942
MountainCarContinuous-v0      dw68489    DCOACH   0      22       86      0.1649
MountainCarContinuous-v0      dw68489    DCOACH   0      23       86      0.6845
MountainCarContinuous-v0      dw68489    DCOACH   0      24       81      0.2479
MountainCarContinuous-v0      dw68489    DCOACH   0      25       84      0.1559
MountainCarContinuous-v0      dw68489    DCOACH   0      26       -22     0.0070
MountainCarContinuous-v0      dw68489    DCOACH   0      27       82      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      28       82      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      29       78      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      30       83      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      31       82      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      32       79      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      33       83      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      34       -3      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      35       82      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      36       77      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      37       -21     0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      38       -22     0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      39       78      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      40       81      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      41       81      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      42       82      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      43       79      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      44       82      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      45       77      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      46       75      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      47       -4      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      48       81      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      49       -11     0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      50       -20     0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      51       -18     0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      52       81      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      53       79      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      54       -4      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      55       -15     0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      56       79      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      57       76      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      58       -2      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      59       83      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      60       81      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      61       82      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      62       83      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      63       82      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      64       83      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      65       -8      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      66       82      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      67       -20     0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      68       80      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      69       81      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      70       81      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      71       -2      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      72       80      0.0000
MountainCarContinuous-v0      dw68489    DCOACH   0      73       80      0.0000
