Environment                   Seed       Algorithm  Error  Episode  Reward  Feedback
MountainCarContinuous-v0      js38935    DCOACH   0      0        -5      0.4885
MountainCarContinuous-v0      js38935    DCOACH   0      1        -9      0.7107
MountainCarContinuous-v0      js38935    DCOACH   0      2        -25     0.7497
MountainCarContinuous-v0      js38935    DCOACH   0      3        -21     0.7798
MountainCarContinuous-v0      js38935    DCOACH   0      4        -10     0.9650
MountainCarContinuous-v0      js38935    DCOACH   0      5        -17     0.8629
MountainCarContinuous-v0      js38935    DCOACH   0      6        80      0.9408
MountainCarContinuous-v0      js38935    DCOACH   0      7        91      0.8989
MountainCarContinuous-v0      js38935    DCOACH   0      8        82      0.6224
MountainCarContinuous-v0      js38935    DCOACH   0      9        -31     0.2943
MountainCarContinuous-v0      js38935    DCOACH   0      10       73      0.8019
MountainCarContinuous-v0      js38935    DCOACH   0      11       90      0.7742
MountainCarContinuous-v0      js38935    DCOACH   0      12       88      0.8831
MountainCarContinuous-v0      js38935    DCOACH   0      13       70      0.7122
MountainCarContinuous-v0      js38935    DCOACH   0      14       54      0.8511
MountainCarContinuous-v0      js38935    DCOACH   0      15       88      0.8836
MountainCarContinuous-v0      js38935    DCOACH   0      16       91      0.8667
MountainCarContinuous-v0      js38935    DCOACH   0      17       90      0.5649
MountainCarContinuous-v0      js38935    DCOACH   0      18       95      0.6416
MountainCarContinuous-v0      js38935    DCOACH   0      19       93      0.8865
MountainCarContinuous-v0      js38935    DCOACH   0      20       91      0.8506
MountainCarContinuous-v0      js38935    DCOACH   0      21       89      0.9836
MountainCarContinuous-v0      js38935    DCOACH   0      22       -60     0.6577
MountainCarContinuous-v0      js38935    DCOACH   0      23       93      0.8765
MountainCarContinuous-v0      js38935    DCOACH   0      24       96      0.7936
MountainCarContinuous-v0      js38935    DCOACH   0      25       95      0.8790
MountainCarContinuous-v0      js38935    DCOACH   0      26       78      0.3729
MountainCarContinuous-v0      js38935    DCOACH   0      27       95      0.6679
MountainCarContinuous-v0      js38935    DCOACH   0      28       95      0.7762
MountainCarContinuous-v0      js38935    DCOACH   0      29       76      0.0183
MountainCarContinuous-v0      js38935    DCOACH   0      30       76      0.5367
MountainCarContinuous-v0      js38935    DCOACH   0      31       71      0.1117
MountainCarContinuous-v0      js38935    DCOACH   0      32       -38     0.5325
MountainCarContinuous-v0      js38935    DCOACH   0      33       -40     0.4044
MountainCarContinuous-v0      js38935    DCOACH   0      34       -35     0.0901
MountainCarContinuous-v0      js38935    DCOACH   0      35       95      0.4627
MountainCarContinuous-v0      js38935    DCOACH   0      36       92      0.4738
MountainCarContinuous-v0      js38935    DCOACH   0      37       87      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      38       86      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      39       80      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      40       86      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      41       85      0.1837
MountainCarContinuous-v0      js38935    DCOACH   0      42       96      0.7277
MountainCarContinuous-v0      js38935    DCOACH   0      43       77      0.7160
MountainCarContinuous-v0      js38935    DCOACH   0      44       95      0.8495
MountainCarContinuous-v0      js38935    DCOACH   0      45       95      0.8556
MountainCarContinuous-v0      js38935    DCOACH   0      46       93      0.4036
MountainCarContinuous-v0      js38935    DCOACH   0      47       85      0.3263
MountainCarContinuous-v0      js38935    DCOACH   0      48       -25     0.1261
MountainCarContinuous-v0      js38935    DCOACH   0      49       90      0.0553
MountainCarContinuous-v0      js38935    DCOACH   0      50       -36     0.3293
MountainCarContinuous-v0      js38935    DCOACH   0      51       97      0.3980
MountainCarContinuous-v0      js38935    DCOACH   0      52       96      0.8156
MountainCarContinuous-v0      js38935    DCOACH   0      53       96      0.8750
MountainCarContinuous-v0      js38935    DCOACH   0      54       96      0.9333
MountainCarContinuous-v0      js38935    DCOACH   0      55       95      0.9864
MountainCarContinuous-v0      js38935    DCOACH   0      56       92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      57       91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      58       87      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      59       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      60       94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      61       91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      62       91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      63       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      64       85      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      65       90      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      66       94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      67       91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      68       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      69       91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      70       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      71       94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      72       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      73       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      74       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      75       95      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      76       86      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      77       91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      78       94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      79       95      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      80       92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      81       85      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      82       89      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      83       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      84       91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      85       91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      86       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      87       95      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      88       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      89       91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      90       95      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      91       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      92       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      93       88      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      94       92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      95       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      96       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      97       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      98       92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      99       93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      100      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      101      89      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      102      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      103      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      104      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      105      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      106      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      107      94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      108      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      109      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      110      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      111      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      112      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      113      85      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      114      90      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      115      90      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      116      95      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      117      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      118      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      119      87      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      120      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      121      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      122      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      123      95      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      124      85      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      125      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      126      94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      127      94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      128      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      129      90      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      130      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      131      94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      132      83      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      133      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      134      88      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      135      89      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      136      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      137      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      138      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      139      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      140      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      141      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      142      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      143      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      144      95      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      145      88      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      146      89      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      147      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      148      90      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      149      95      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      150      90      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      151      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      152      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      153      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      154      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      155      90      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      156      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      157      90      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      158      90      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      159      94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      160      95      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      161      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      162      90      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      163      94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      164      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      165      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      166      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      167      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      168      90      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      169      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      170      89      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      171      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      172      88      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      173      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      174      94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      175      95      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      176      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      177      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      178      88      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      179      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      180      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      181      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      182      90      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      183      94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      184      94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      185      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      186      90      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      187      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      188      88      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      189      89      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      190      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      191      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      192      92      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      193      94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      194      94      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      195      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      196      93      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      197      88      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      198      91      0.0000
MountainCarContinuous-v0      js38935    DCOACH   0      199      86      0.0000
