Environment                   Seed          Algorithm  Error  Amount    Episode  Reward  Feedback
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      0        -8      0.4785
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      1        -5      0.3904
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      2        -8      0.5786
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      3        -20     0.5756
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      4        -15     0.3734
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      5        -29     0.3353
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      6        80      0.5459
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      7        -64     0.1512
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      8        50      0.2008
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      9        78      0.3851
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      10       -26     0.3814
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      11       64      0.2398
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      12       48      0.3228
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      13       -38     0.1251
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      14       68      0.3201
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      15       -59     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      16       -45     0.2082
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      17       90      0.6441
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      18       75      0.4441
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      19       93      0.6225
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      20       90      0.6578
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      21       90      0.4665
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      22       91      0.2017
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      23       -5      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      24       85      0.2392
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      25       -37     0.4625
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      26       94      0.5532
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      27       90      0.2629
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      28       79      0.7647
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      29       81      0.3966
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      30       88      0.1832
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      31       -34     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      32       82      0.2220
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      33       -20     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      34       -19     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      35       -19     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      36       79      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      37       87      0.2451
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      38       93      0.2394
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      39       -18     0.1031
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      40       93      0.2704
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      41       -5      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      42       84      0.3753
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      43       -37     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      44       88      0.2194
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      45       84      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      46       86      0.1603
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      47       80      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      48       88      0.0000
