Environment                   Seed       Algorithm Error  Episode  Reward  Feedback
MountainCarContinuous-v0      js67833    DCOACH   0      0        -16     0.5746
MountainCarContinuous-v0      js67833    DCOACH   0      1        -10     0.5325
MountainCarContinuous-v0      js67833    DCOACH   0      2        -24     0.6026
MountainCarContinuous-v0      js67833    DCOACH   0      3        90      0.8917
MountainCarContinuous-v0      js67833    DCOACH   0      4        73      0.9016
MountainCarContinuous-v0      js67833    DCOACH   0      5        82      0.6710
MountainCarContinuous-v0      js67833    DCOACH   0      6        72      0.6980
MountainCarContinuous-v0      js67833    DCOACH   0      7        84      0.7563
MountainCarContinuous-v0      js67833    DCOACH   0      8        -41     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      9        78      0.8371
MountainCarContinuous-v0      js67833    DCOACH   0      10       -56     0.6106
MountainCarContinuous-v0      js67833    DCOACH   0      11       68      0.6438
MountainCarContinuous-v0      js67833    DCOACH   0      12       -27     0.3133
MountainCarContinuous-v0      js67833    DCOACH   0      13       79      0.7492
MountainCarContinuous-v0      js67833    DCOACH   0      14       92      0.6970
MountainCarContinuous-v0      js67833    DCOACH   0      15       89      0.6398
MountainCarContinuous-v0      js67833    DCOACH   0      16       85      0.6745
MountainCarContinuous-v0      js67833    DCOACH   0      17       87      0.6781
MountainCarContinuous-v0      js67833    DCOACH   0      18       -5      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      19       89      0.2085
MountainCarContinuous-v0      js67833    DCOACH   0      20       82      0.1910
MountainCarContinuous-v0      js67833    DCOACH   0      21       85      0.3390
MountainCarContinuous-v0      js67833    DCOACH   0      22       82      0.6496
MountainCarContinuous-v0      js67833    DCOACH   0      23       -14     0.0921
MountainCarContinuous-v0      js67833    DCOACH   0      24       92      0.5096
MountainCarContinuous-v0      js67833    DCOACH   0      25       96      0.6130
MountainCarContinuous-v0      js67833    DCOACH   0      26       95      0.6184
MountainCarContinuous-v0      js67833    DCOACH   0      27       -12     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      28       85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      29       -13     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      30       -11     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      31       85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      32       87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      33       85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      34       -11     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      35       86      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      36       85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      37       -9      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      38       -11     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      39       87      0.6121
MountainCarContinuous-v0      js67833    DCOACH   0      40       90      0.6032
MountainCarContinuous-v0      js67833    DCOACH   0      41       92      0.4784
MountainCarContinuous-v0      js67833    DCOACH   0      42       96      0.7005
MountainCarContinuous-v0      js67833    DCOACH   0      43       95      0.7538
MountainCarContinuous-v0      js67833    DCOACH   0      44       94      0.6915
MountainCarContinuous-v0      js67833    DCOACH   0      45       93      0.4570
MountainCarContinuous-v0      js67833    DCOACH   0      46       90      0.2849
MountainCarContinuous-v0      js67833    DCOACH   0      47       -25     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      48       83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      49       82      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      50       -25     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      51       82      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      52       77      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      53       85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      54       88      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      55       86      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      56       80      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      57       85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      58       83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      59       81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      60       84      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      61       78      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      62       -26     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      63       80      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      64       85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      65       85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      66       -25     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      67       -24     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      68       -25     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      69       81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      70       81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      71       83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      72       -24     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      73       82      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      74       -25     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      75       86      0.1639
MountainCarContinuous-v0      js67833    DCOACH   0      76       89      0.2672
MountainCarContinuous-v0      js67833    DCOACH   0      77       95      0.2136
MountainCarContinuous-v0      js67833    DCOACH   0      78       94      0.3404
MountainCarContinuous-v0      js67833    DCOACH   0      79       92      0.2676
MountainCarContinuous-v0      js67833    DCOACH   0      80       89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      81       83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      82       89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      83       83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      84       85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      85       87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      86       83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      87       87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      88       79      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      89       89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      90       79      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      91       83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      92       77      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      93       77      0.0000
