Environment                   Seed       Algorithm   Error  Episode  Reward  Feedback
MountainCarContinuous-v0      md65874    DCOACH      0      0        -62     0.4234
MountainCarContinuous-v0      md65874    DCOACH      0      1        -87     0.4655
MountainCarContinuous-v0      md65874    DCOACH      0      2        -92     0.4745
MountainCarContinuous-v0      md65874    DCOACH      0      3        -94     0.5656
MountainCarContinuous-v0      md65874    DCOACH      0      4        -90     0.5986
MountainCarContinuous-v0      md65874    DCOACH      0      5        -93     0.5325
MountainCarContinuous-v0      md65874    DCOACH      0      6        -94     0.3433
MountainCarContinuous-v0      md65874    DCOACH      0      7        -95     0.5015
MountainCarContinuous-v0      md65874    DCOACH      0      8        -95     0.4845
MountainCarContinuous-v0      md65874    DCOACH      0      9        -96     0.4975
MountainCarContinuous-v0      md65874    DCOACH      0      10       -96     0.4454
MountainCarContinuous-v0      md65874    DCOACH      0      11       -96     0.5035
MountainCarContinuous-v0      md65874    DCOACH      0      12       -96     0.4995
MountainCarContinuous-v0      md65874    DCOACH      0      13       -97     0.4585
MountainCarContinuous-v0      md65874    DCOACH      0      14       -97     0.5365
MountainCarContinuous-v0      md65874    DCOACH      0      15       -97     0.4194
MountainCarContinuous-v0      md65874    DCOACH      0      16       -97     0.4404
MountainCarContinuous-v0      md65874    DCOACH      0      17       -97     0.3724
MountainCarContinuous-v0      md65874    DCOACH      0      18       -97     0.4004
MountainCarContinuous-v0      md65874    DCOACH      0      19       -97     0.7728
MountainCarContinuous-v0      md65874    DCOACH      0      20       -97     0.9860
MountainCarContinuous-v0      md65874    DCOACH      0      21       -97     0.9800
MountainCarContinuous-v0      md65874    DCOACH      0      22       -97     0.9940
MountainCarContinuous-v0      md65874    DCOACH      0      23       -98     0.9820
MountainCarContinuous-v0      md65874    DCOACH      0      24       -98     0.9850
MountainCarContinuous-v0      md65874    DCOACH      0      25       -98     0.9930
MountainCarContinuous-v0      md65874    DCOACH      0      26       -98     0.9910
MountainCarContinuous-v0      md65874    DCOACH      0      27       -98     1.0000
MountainCarContinuous-v0      md65874    DCOACH      0      28       -98     1.0000
MountainCarContinuous-v0      md65874    DCOACH      0      29       -98     0.9960
MountainCarContinuous-v0      md65874    DCOACH      0      30       -98     0.9840
MountainCarContinuous-v0      md65874    DCOACH      0      31       -98     1.0000
MountainCarContinuous-v0      md65874    DCOACH      0      32       -98     0.9960
MountainCarContinuous-v0      md65874    DCOACH      0      33       -98     0.9590
MountainCarContinuous-v0      md65874    DCOACH      0      34       -98     0.9810
MountainCarContinuous-v0      md65874    DCOACH      0      35       -98     0.8248
MountainCarContinuous-v0      md65874    DCOACH      0      36       -98     0.8729
MountainCarContinuous-v0      md65874    DCOACH      0      37       -98     0.8428
MountainCarContinuous-v0      md65874    DCOACH      0      38       -98     0.8068
MountainCarContinuous-v0      md65874    DCOACH      0      39       -98     0.7638
MountainCarContinuous-v0      md65874    DCOACH      0      40       -98     0.0410
MountainCarContinuous-v0      md65874    DCOACH      0      41       -98     0.3594
MountainCarContinuous-v0      md65874    DCOACH      0      42       -98     0.6356
MountainCarContinuous-v0      md65874    DCOACH      0      43       -98     0.4785
MountainCarContinuous-v0      md65874    DCOACH      0      44       -98     0.9339
MountainCarContinuous-v0      md65874    DCOACH      0      45       -98     0.9940
MountainCarContinuous-v0      md65874    DCOACH      0      46       -98     0.9880
MountainCarContinuous-v0      md65874    DCOACH      0      47       -98     0.9079
MountainCarContinuous-v0      md65874    DCOACH      0      48       -98     0.7357
MountainCarContinuous-v0      md65874    DCOACH      0      49       -98     1.0000
MountainCarContinuous-v0      md65874    DCOACH      0      50       -98     0.8799
MountainCarContinuous-v0      md65874    DCOACH      0      51       -98     0.9439
MountainCarContinuous-v0      md65874    DCOACH      0      52       -98     0.2683
