Environment                   Seed       Algorithm Error  Episode  Reward  Feedback
MountainCarContinuous-v0      md74483    DCOACH   0      0        -13     0.5115
MountainCarContinuous-v0      md74483    DCOACH   0      1        -14     0.4334
MountainCarContinuous-v0      md74483    DCOACH   0      2        -13     0.6627
MountainCarContinuous-v0      md74483    DCOACH   0      3        -34     0.6136
MountainCarContinuous-v0      md74483    DCOACH   0      4        65      0.3824
MountainCarContinuous-v0      md74483    DCOACH   0      5        -34     0.2072
MountainCarContinuous-v0      md74483    DCOACH   0      6        55      0.2892
MountainCarContinuous-v0      md74483    DCOACH   0      7        50      0.3825
MountainCarContinuous-v0      md74483    DCOACH   0      8        -62     0.2242
MountainCarContinuous-v0      md74483    DCOACH   0      9        70      0.4109
MountainCarContinuous-v0      md74483    DCOACH   0      10       57      0.2745
MountainCarContinuous-v0      md74483    DCOACH   0      11       65      0.3574
MountainCarContinuous-v0      md74483    DCOACH   0      12       70      0.4248
MountainCarContinuous-v0      md74483    DCOACH   0      13       59      0.1915
MountainCarContinuous-v0      md74483    DCOACH   0      14       -57     0.1742
MountainCarContinuous-v0      md74483    DCOACH   0      15       58      0.2481
MountainCarContinuous-v0      md74483    DCOACH   0      16       46      0.2048
MountainCarContinuous-v0      md74483    DCOACH   0      17       57      0.1328
MountainCarContinuous-v0      md74483    DCOACH   0      18       39      0.1485
MountainCarContinuous-v0      md74483    DCOACH   0      19       -56     0.0991
MountainCarContinuous-v0      md74483    DCOACH   0      20       69      0.2998
MountainCarContinuous-v0      md74483    DCOACH   0      21       58      0.1156
MountainCarContinuous-v0      md74483    DCOACH   0      22       -58     0.1091
MountainCarContinuous-v0      md74483    DCOACH   0      23       50      0.1170
MountainCarContinuous-v0      md74483    DCOACH   0      24       37      0.1064
MountainCarContinuous-v0      md74483    DCOACH   0      25       54      0.1073
MountainCarContinuous-v0      md74483    DCOACH   0      26       -61     0.0641
MountainCarContinuous-v0      md74483    DCOACH   0      27       46      0.1722
MountainCarContinuous-v0      md74483    DCOACH   0      28       -51     0.0981
MountainCarContinuous-v0      md74483    DCOACH   0      29       -65     0.2312
MountainCarContinuous-v0      md74483    DCOACH   0      30       51      0.5185
MountainCarContinuous-v0      md74483    DCOACH   0      31       76      0.4752
MountainCarContinuous-v0      md74483    DCOACH   0      32       72      0.4619
MountainCarContinuous-v0      md74483    DCOACH   0      33       74      0.5782
MountainCarContinuous-v0      md74483    DCOACH   0      34       80      0.4260
MountainCarContinuous-v0      md74483    DCOACH   0      35       72      0.3485
MountainCarContinuous-v0      md74483    DCOACH   0      36       76      0.3065
MountainCarContinuous-v0      md74483    DCOACH   0      37       78      0.3602
MountainCarContinuous-v0      md74483    DCOACH   0      38       77      0.3417
MountainCarContinuous-v0      md74483    DCOACH   0      39       71      0.2167
MountainCarContinuous-v0      md74483    DCOACH   0      40       77      0.3272
MountainCarContinuous-v0      md74483    DCOACH   0      41       71      0.2387
MountainCarContinuous-v0      md74483    DCOACH   0      42       80      0.3496
MountainCarContinuous-v0      md74483    DCOACH   0      43       78      0.3302
MountainCarContinuous-v0      md74483    DCOACH   0      44       73      0.3712
MountainCarContinuous-v0      md74483    DCOACH   0      45       -25     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      46       74      0.1413
MountainCarContinuous-v0      md74483    DCOACH   0      47       78      0.2662
MountainCarContinuous-v0      md74483    DCOACH   0      48       74      0.2567
MountainCarContinuous-v0      md74483    DCOACH   0      49       80      0.5091
MountainCarContinuous-v0      md74483    DCOACH   0      50       74      0.3379
MountainCarContinuous-v0      md74483    DCOACH   0      51       79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      52       70      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      53       -12     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      54       -22     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      55       -11     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      56       81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      57       -7      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      58       -9      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      59       74      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      60       -12     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      61       76      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      62       76      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      63       79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      64       77      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      65       70      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      66       77      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      67       76      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      68       78      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      69       78      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      70       76      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      71       80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      72       81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      73       -14     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      74       80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      75       -12     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      76       76      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      77       81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      78       -20     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      79       -18     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      80       -8      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      81       80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      82       81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      83       -5      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      84       -3      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      85       80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      86       80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      87       79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      88       79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      89       79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      90       75      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      91       77      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      92       79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      93       79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      94       79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      95       -7      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      96       -12     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      97       76      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      98       75      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      99       80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      100      74      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      101      -17     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      102      -4      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      103      79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      104      -22     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      105      77      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      106      78      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      107      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      108      79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      109      79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      110      -22     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      111      -1      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      112      -15     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      113      -9      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      114      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      115      80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      116      74      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      117      77      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      118      76      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      119      80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      120      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      121      -18     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      122      80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      123      -6      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      124      -14     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      125      79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      126      -10     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      127      76      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      128      80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      129      -16     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      130      79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      131      76      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      132      80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      133      -19     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      134      79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      135      75      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      136      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      137      80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      138      80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      139      -1      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      140      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      141      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      142      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      143      -15     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      144      77      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      145      -3      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      146      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      147      75      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      148      -1      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      149      79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      150      -15     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      151      77      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      152      -22     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      153      80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      154      78      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      155      74      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      156      78      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      157      77      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      158      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      159      79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      160      71      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      161      -14     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      162      -18     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      163      75      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      164      77      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      165      -13     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      166      -10     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      167      -18     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      168      77      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      169      -2      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      170      -21     0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      171      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      172      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      173      80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      174      80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      175      76      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      176      80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      177      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      178      79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      179      76      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      180      80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      181      73      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      182      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      183      -4      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      184      79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      185      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      186      80      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      187      -5      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      188      78      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      189      81      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      190      79      0.0000
MountainCarContinuous-v0      md74483    DCOACH   0      191      -14     0.0000
