Environment              Seed       Algorithm Error   Episode Reward  Gain    Feedback
MountainCarContinuous-v0 dw40200    PPMP      0       0       96      0.5469  0.3452
MountainCarContinuous-v0 dw40200    PPMP      0       1       83      1.1433  0.0786
MountainCarContinuous-v0 dw40200    PPMP      0       2       94      1.4557  0.1628
MountainCarContinuous-v0 dw40200    PPMP      0       3       94      1.3878  0.3097
MountainCarContinuous-v0 dw40200    PPMP      0       4       -79     1.3726  0.2533
MountainCarContinuous-v0 dw40200    PPMP      0       5       -67     0.7326  0.3844
MountainCarContinuous-v0 dw40200    PPMP      0       6       89      0.5428  0.5000
MountainCarContinuous-v0 dw40200    PPMP      0       7       79      0.5850  0.4263
MountainCarContinuous-v0 dw40200    PPMP      0       8       83      0.6078  0.3380
MountainCarContinuous-v0 dw40200    PPMP      0       9       83      0.5937  0.3963
MountainCarContinuous-v0 dw40200    PPMP      0       10      91      0.5850  0.4425
MountainCarContinuous-v0 dw40200    PPMP      0       11      90      0.5916  0.3939
MountainCarContinuous-v0 dw40200    PPMP      0       12      87      0.6059  0.4977
MountainCarContinuous-v0 dw40200    PPMP      0       13      90      0.7492  0.6000
MountainCarContinuous-v0 dw40200    PPMP      0       14      91      1.0822  0.5191
MountainCarContinuous-v0 dw40200    PPMP      0       15      94      1.1878  0.6296
MountainCarContinuous-v0 dw40200    PPMP      0       16      92      1.1965  0.6733
MountainCarContinuous-v0 dw40200    PPMP      0       17      91      1.2108  0.7358
MountainCarContinuous-v0 dw40200    PPMP      0       18      91      1.2553  0.7677
MountainCarContinuous-v0 dw40200    PPMP      0       19      92      1.2949  0.8081
MountainCarContinuous-v0 dw40200    PPMP      0       20      92      1.2937  0.6979
MountainCarContinuous-v0 dw40200    PPMP      0       21      89      1.1595  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       22      94      1.0454  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       23      93      0.9551  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       24      91      0.7515  0.1592
MountainCarContinuous-v0 dw40200    PPMP      0       25      92      0.7632  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       26      95      0.7385  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       27      92      0.9048  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       28      -79     0.7687  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       29      50      0.5000  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       30      73      0.5647  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       31      79      0.7411  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       32      88      0.7038  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       33      90      0.7825  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       34      92      0.6492  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       35      93      0.6560  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       36      92      0.8028  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       37      91      0.9658  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       38      93      0.8799  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       39      91      0.8163  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       40      93      0.7433  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       41      91      0.7319  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       42      85      0.6895  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       43      89      0.7015  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       44      93      0.6329  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       45      91      0.6162  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       46      92      0.6302  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       47      92      0.6542  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       48      92      0.6469  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       49      89      0.6504  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       50      91      0.6447  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       51      91      0.6184  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       52      91      0.6020  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       53      90      0.6340  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       54      90      0.6155  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       55      91      0.6029  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       56      90      0.5991  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       57      91      0.6138  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       58      90      0.6538  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       59      89      0.6461  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       60      91      0.6314  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       61      92      0.6140  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       62      89      0.6291  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       63      86      0.6220  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       64      90      0.6138  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       65      88      0.6238  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       66      93      0.6866  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       67      94      0.5503  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       68      94      0.5506  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       69      94      0.5769  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       70      93      0.6626  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       71      93      0.6589  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       72      93      0.7050  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       73      93      0.7145  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       74      93      0.7201  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       75      93      0.7523  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       76      92      0.8153  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       77      93      0.6708  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       78      92      0.6750  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       79      92      0.6908  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       80      91      0.5937  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       81      90      0.6803  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       82      93      0.5284  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       83      93      0.5244  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       84      93      0.5328  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       85      91      0.6161  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       86      93      0.5205  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       87      90      0.5442  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       88      93      0.5154  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       89      93      0.5188  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       90      90      0.5614  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       91      93      0.5205  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       92      93      0.5195  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       93      90      0.6314  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       94      93      0.5356  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       95      93      0.5302  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       96      91      0.5496  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       97      93      0.5271  0.0000
