Environment              Seed     Algorithm Error   Episode Reward  Gain    Feedback
MountainCarContinuous-v0 js08219  PPMP      0       0       96      0.5107  0.4174
MountainCarContinuous-v0 js08219  PPMP      0       1       96      0.5107  0.5490
MountainCarContinuous-v0 js08219  PPMP      0       2       94      0.9845  0.6000
MountainCarContinuous-v0 js08219  PPMP      0       3       92      1.4545  0.5197
MountainCarContinuous-v0 js08219  PPMP      0       4       85      1.4779  0.3035
MountainCarContinuous-v0 js08219  PPMP      0       5       94      1.4537  0.5044
MountainCarContinuous-v0 js08219  PPMP      0       6       93      1.4135  0.3474
MountainCarContinuous-v0 js08219  PPMP      0       7       93      1.2958  0.2573
MountainCarContinuous-v0 js08219  PPMP      0       8       94      1.2351  0.5000
MountainCarContinuous-v0 js08219  PPMP      0       9       93      1.3533  0.3913
MountainCarContinuous-v0 js08219  PPMP      0       10      90      1.4114  0.4407
MountainCarContinuous-v0 js08219  PPMP      0       11      91      1.4090  0.5304
MountainCarContinuous-v0 js08219  PPMP      0       12      91      1.3985  0.4483
MountainCarContinuous-v0 js08219  PPMP      0       13      94      1.3993  0.2712
MountainCarContinuous-v0 js08219  PPMP      0       14      94      1.3846  0.4300
MountainCarContinuous-v0 js08219  PPMP      0       15      94      1.3473  0.4900
MountainCarContinuous-v0 js08219  PPMP      0       16      94      1.2876  0.4757
MountainCarContinuous-v0 js08219  PPMP      0       17      94      1.3321  0.4184
MountainCarContinuous-v0 js08219  PPMP      0       18      94      1.2246  0.3486
MountainCarContinuous-v0 js08219  PPMP      0       19      93      1.2827  0.0818
MountainCarContinuous-v0 js08219  PPMP      0       20      92      1.3180  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       21      92      1.2515  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       22      95      1.1134  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       23      93      1.1516  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       24      95      1.0415  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       25      92      1.0896  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       26      94      0.9483  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       27      87      0.9803  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       28      93      0.8894  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       29      91      0.8583  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       30      85      0.8383  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       31      90      0.8839  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       32      91      0.9795  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       33      82      1.1007  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       34      87      1.1845  0.1677
MountainCarContinuous-v0 js08219  PPMP      0       35      85      1.1926  0.1600
MountainCarContinuous-v0 js08219  PPMP      0       36      85      1.0275  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       37      90      0.8731  0.1784
MountainCarContinuous-v0 js08219  PPMP      0       38      87      0.7227  0.1237
MountainCarContinuous-v0 js08219  PPMP      0       39      84      0.6938  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       40      84      0.6455  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       41      80      0.7271  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       42      90      0.7211  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       43      83      0.6892  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       44      84      0.6502  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       45      85      0.6671  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       46      90      0.6705  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       47      90      0.6859  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       48      87      0.7208  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       49      87      0.7032  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       50      90      0.6668  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       51      80      0.7855  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       52      84      0.6926  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       53      87      0.6938  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       54      90      0.7180  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       55      86      0.6004  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       56      92      0.6718  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       57      84      0.6645  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       58      93      0.6224  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       59      90      0.6197  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       60      89      0.6255  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       61      84      0.6751  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       62      90      0.5679  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       63      91      0.6193  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       64      84      0.7055  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       65      90      0.5623  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       66      85      0.6245  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       67      79      0.6443  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       68      89      0.5549  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       69      87      0.6131  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       70      91      0.5572  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       71      79      0.6271  0.1244
MountainCarContinuous-v0 js08219  PPMP      0       72      -39     0.6811  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       73      84      0.6246  0.0629
MountainCarContinuous-v0 js08219  PPMP      0       74      90      0.5431  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       75      88      0.5684  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       76      90      0.5369  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       77      91      0.5447  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       78      90      0.5345  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       79      77      0.6954  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       80      92      0.5747  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       81      92      0.5648  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       82      90      0.6903  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       83      90      0.5995  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       84      89      0.6778  0.1952
MountainCarContinuous-v0 js08219  PPMP      0       85      90      0.5503  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       86      85      0.6191  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       87      89      0.5969  0.3939
MountainCarContinuous-v0 js08219  PPMP      0       88      87      0.6043  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       89      88      0.6503  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       90      91      0.7184  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       91      89      0.6303  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       92      91      0.5697  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       93      87      0.5649  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       94      88      0.5662  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       95      92      0.5922  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       96      93      0.5907  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       97      93      0.6028  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       98      92      0.5902  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       99      90      0.5825  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       100     92      0.6025  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       101     86      0.6122  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       102     92      0.5944  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       103     92      0.5703  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       104     89      0.6105  0.0000
MountainCarContinuous-v0 js08219  PPMP      0       105     93      0.6120  0.0000
