Environment              Seed       Algorithm Error   Episode Reward  Gain    Feedback
MountainCarContinuous-v0 js92757    PPMP      0       0       96      0.5461  0.2364
MountainCarContinuous-v0 js92757    PPMP      0       1       84      0.7444  0.3594
MountainCarContinuous-v0 js92757    PPMP      0       2       81      1.1037  0.4135
MountainCarContinuous-v0 js92757    PPMP      0       3       90      1.3180  0.4132
MountainCarContinuous-v0 js92757    PPMP      0       4       86      1.2110  0.0255
MountainCarContinuous-v0 js92757    PPMP      0       5       93      1.2934  0.0499
MountainCarContinuous-v0 js92757    PPMP      0       6       93      0.8893  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       7       0       0.8223  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       8       94      0.6103  0.0172
MountainCarContinuous-v0 js92757    PPMP      0       9       85      0.7375  0.0655
MountainCarContinuous-v0 js92757    PPMP      0       10      85      1.3720  0.1042
MountainCarContinuous-v0 js92757    PPMP      0       11      95      1.2535  0.3023
MountainCarContinuous-v0 js92757    PPMP      0       12      89      1.3994  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       13      87      1.2686  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       14      89      1.3755  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       15      85      1.1069  0.0079
MountainCarContinuous-v0 js92757    PPMP      0       16      85      0.7057  0.1337
MountainCarContinuous-v0 js92757    PPMP      0       17      93      0.5913  0.0520
MountainCarContinuous-v0 js92757    PPMP      0       18      93      0.5367  0.0252
MountainCarContinuous-v0 js92757    PPMP      0       19      72      0.5214  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       20      89      0.5082  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       21      62      0.5092  0.0331
MountainCarContinuous-v0 js92757    PPMP      0       22      74      0.5113  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       23      66      0.7575  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       24      86      0.8733  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       25      90      0.7689  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       26      87      0.8289  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       27      91      0.6743  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       28      83      0.6490  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       29      90      0.6113  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       30      92      0.6194  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       31      84      0.6120  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       32      87      0.6223  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       33      90      0.6517  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       34      91      0.6552  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       35      86      0.6863  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       36      76      0.5844  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       37      67      0.5348  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       38      81      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       39      -96     0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       40      -95     0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       41      -97     0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       42      -99     0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       43      59      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       44      50      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       45      67      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       46      72      0.5000  0.2727
MountainCarContinuous-v0 js92757    PPMP      0       47      89      0.5000  0.4161
MountainCarContinuous-v0 js92757    PPMP      0       48      92      0.5000  0.8136
MountainCarContinuous-v0 js92757    PPMP      0       49      84      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       50      73      0.5000  0.1596
MountainCarContinuous-v0 js92757    PPMP      0       51      86      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       52      81      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       53      86      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       54      82      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       55      88      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       56      90      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       57      82      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       58      89      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       59      88      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       60      88      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       61      81      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       62      88      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       63      84      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       64      73      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       65      73      0.5000  0.2407
MountainCarContinuous-v0 js92757    PPMP      0       66      88      0.5000  0.4296
MountainCarContinuous-v0 js92757    PPMP      0       67      90      0.5000  0.6087
MountainCarContinuous-v0 js92757    PPMP      0       68      81      0.5000  0.7957
MountainCarContinuous-v0 js92757    PPMP      0       69      91      0.5000  0.7317
MountainCarContinuous-v0 js92757    PPMP      0       70      86      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       71      72      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       72      78      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       73      79      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       74      87      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       75      68      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       76      87      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       77      88      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       78      90      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       79      69      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       80      84      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       81      90      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       82      90      0.6645  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       83      94      0.5000  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       84      91      0.7363  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       85      95      0.7636  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       86      91      0.7043  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       87      91      0.8359  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       88      95      0.6439  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       89      94      0.6167  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       90      93      0.7849  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       91      93      0.5747  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       92      92      0.6156  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       93      92      0.5758  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       94      93      0.5910  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       95      94      0.5762  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       96      93      0.5657  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       97      94      0.5412  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       98      95      0.5486  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       99      95      0.5390  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       100     90      0.5105  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       101     93      0.5223  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       102     94      0.5354  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       103     94      0.5469  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       104     94      0.5428  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       105     91      0.6060  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       106     92      0.5635  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       107     92      0.5333  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       108     78      0.5477  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       109     94      0.6491  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       110     88      0.6267  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       111     93      0.6750  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       112     93      0.6950  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       113     93      0.7033  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       114     92      0.6820  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       115     93      0.7124  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       116     92      0.5905  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       117     92      0.5551  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       118     93      0.6378  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       119     92      0.7215  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       120     93      0.7166  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       121     92      0.7362  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       122     92      0.5995  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       123     90      0.5847  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       124     91      0.7263  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       125     74      0.5511  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       126     91      0.5393  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       127     91      0.5539  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       128     90      0.5237  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       129     91      0.5197  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       130     89      0.6093  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       131     90      0.5177  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       132     90      0.5234  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       133     91      0.5156  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       134     90      0.5282  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       135     90      0.5252  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       136     90      0.5179  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       137     90      0.5199  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       138     82      0.5165  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       139     91      0.5094  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       140     91      0.5154  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       141     -96     0.5068  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       142     83      0.5542  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       143     91      0.5111  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       144     90      0.5085  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       145     92      0.5089  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       146     91      0.5100  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       147     91      0.5054  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       148     92      0.5066  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       149     92      0.5163  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       150     92      0.5117  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       151     92      0.5217  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       152     92      0.5205  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       153     92      0.5154  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       154     92      0.5144  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       155     92      0.5096  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       156     92      0.5111  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       157     92      0.5101  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       158     92      0.5059  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       159     93      0.5081  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       160     92      0.5055  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       161     92      0.5040  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       162     93      0.5070  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       163     93      0.5066  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       164     93      0.5137  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       165     93      0.5079  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       166     92      0.5111  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       167     93      0.5222  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       168     93      0.5318  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       169     93      0.5449  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       170     93      0.5103  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       171     93      0.5194  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       172     93      0.5172  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       173     93      0.5121  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       174     93      0.5348  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       175     93      0.5560  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       176     93      0.6223  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       177     93      0.5492  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       178     93      0.5529  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       179     93      0.6096  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       180     93      0.5964  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       181     93      0.6096  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       182     93      0.5605  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       183     93      0.6134  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       184     94      0.5920  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       185     93      0.6458  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       186     93      0.6880  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       187     94      0.6173  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       188     90      0.6949  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       189     93      0.7218  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       190     94      0.6301  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       191     94      0.6872  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       192     87      0.6567  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       193     93      0.6957  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       194     94      0.6586  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       195     94      0.6582  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       196     94      0.7002  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       197     90      0.6485  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       198     94      0.6625  0.0000
MountainCarContinuous-v0 js92757    PPMP      0       199     90      0.6184  0.0000
