Environment              Seed       Algorithm Error   Episode Reward  Gain    Feedback
MountainCarContinuous-v0 md38313    PPMP      0       0       -30     0.5207  0.1001
MountainCarContinuous-v0 md38313    PPMP      0       1       -33     0.5153  0.1742
MountainCarContinuous-v0 md38313    PPMP      0       2       82      0.7564  0.0911
MountainCarContinuous-v0 md38313    PPMP      0       3       78      1.2036  0.0566
MountainCarContinuous-v0 md38313    PPMP      0       4       89      0.9183  0.0530
MountainCarContinuous-v0 md38313    PPMP      0       5       54      0.5004  0.1057
MountainCarContinuous-v0 md38313    PPMP      0       6       87      0.5000  0.0549
MountainCarContinuous-v0 md38313    PPMP      0       7       75      0.5000  0.0421
MountainCarContinuous-v0 md38313    PPMP      0       8       57      0.5000  0.0266
MountainCarContinuous-v0 md38313    PPMP      0       9       -58     0.6842  0.0200
MountainCarContinuous-v0 md38313    PPMP      0       10      -17     1.0273  0.0571
MountainCarContinuous-v0 md38313    PPMP      0       11      93      0.6738  0.2270
MountainCarContinuous-v0 md38313    PPMP      0       12      88      0.5315  0.0536
MountainCarContinuous-v0 md38313    PPMP      0       13      89      0.5633  0.0445
MountainCarContinuous-v0 md38313    PPMP      0       14      86      0.6102  0.0402
MountainCarContinuous-v0 md38313    PPMP      0       15      90      0.6355  0.0436
MountainCarContinuous-v0 md38313    PPMP      0       16      86      0.7628  0.0125
MountainCarContinuous-v0 md38313    PPMP      0       17      85      0.5541  0.0093
MountainCarContinuous-v0 md38313    PPMP      0       18      94      0.5160  0.0130
MountainCarContinuous-v0 md38313    PPMP      0       19      95      0.5297  0.0249
MountainCarContinuous-v0 md38313    PPMP      0       20      87      0.5138  0.0189
MountainCarContinuous-v0 md38313    PPMP      0       21      -61     0.5228  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       22      67      0.5372  0.0203
MountainCarContinuous-v0 md38313    PPMP      0       23      90      0.5511  0.1872
MountainCarContinuous-v0 md38313    PPMP      0       24      88      0.6429  0.0287
MountainCarContinuous-v0 md38313    PPMP      0       25      89      0.7077  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       26      89      0.6637  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       27      85      0.6204  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       28      90      0.6895  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       29      89      0.6729  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       30      86      0.5669  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       31      82      0.5387  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       32      83      0.5526  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       33      92      0.6330  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       34      94      0.5978  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       35      92      0.6065  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       36      94      0.6108  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       37      89      0.6188  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       38      72      0.5655  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       39      91      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       40      81      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       41      88      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       42      77      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       43      -99     0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       44      -99     0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       45      -96     0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       46      32      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       47      -95     0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       48      -98     0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       49      57      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       50      -95     0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       51      -98     0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       52      58      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       53      -42     0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       54      83      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       55      64      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       56      39      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       57      77      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       58      -95     0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       59      58      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       60      19      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       61      68      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       62      84      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       63      56      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       64      72      0.5000  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       65      89      0.5437  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       66      89      0.5350  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       67      90      0.5458  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       68      91      0.5249  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       69      89      0.5084  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       70      91      0.5083  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       71      92      0.5212  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       72      93      0.5199  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       73      93      0.5183  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       74      91      0.5074  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       75      93      0.5117  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       76      94      0.5108  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       77      93      0.5111  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       78      91      0.5075  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       79      93      0.5097  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       80      94      0.5152  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       81      94      0.5105  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       82      94      0.5118  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       83      93      0.5116  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       84      93      0.5255  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       85      94      0.5224  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       86      93      0.5089  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       87      93      0.5076  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       88      93      0.5190  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       89      94      0.5213  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       90      93      0.5158  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       91      94      0.5178  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       92      88      0.5103  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       93      91      0.5063  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       94      88      0.5078  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       95      86      0.5096  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       96      94      0.5170  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       97      91      0.5136  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       98      87      0.5397  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       99      87      0.5344  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       100     91      0.5695  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       101     88      0.5231  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       102     86      0.5137  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       103     93      0.5182  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       104     94      0.5173  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       105     94      0.5112  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       106     88      0.5097  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       107     89      0.5065  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       108     88      0.5073  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       109     94      0.5112  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       110     88      0.5161  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       111     88      0.5248  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       112     88      0.5095  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       113     89      0.5366  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       114     89      0.5697  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       115     88      0.5441  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       116     89      0.5371  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       117     89      0.5338  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       118     88      0.5479  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       119     94      0.5644  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       120     88      0.5693  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       121     93      0.5633  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       122     93      0.5637  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       123     87      0.5364  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       124     94      0.5415  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       125     88      0.5251  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       126     90      0.5320  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       127     94      0.5388  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       128     87      0.5462  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       129     89      0.5953  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       130     89      0.6142  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       131     77      0.6997  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       132     81      0.7137  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       133     87      0.5548  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       134     -61     0.5521  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       135     75      0.5717  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       136     71      0.5764  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       137     77      0.5206  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       138     93      0.5561  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       139     83      0.5193  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       140     88      0.5212  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       141     87      0.5249  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       142     93      0.5357  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       143     88      0.5219  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       144     93      0.5368  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       145     92      0.5393  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       146     93      0.5268  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       147     92      0.5260  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       148     93      0.5216  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       149     93      0.5225  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       150     88      0.5632  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       151     92      0.5246  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       152     76      0.5556  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       153     91      0.5347  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       154     93      0.5429  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       155     93      0.5509  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       156     93      0.5363  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       157     82      0.5705  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       158     92      0.5596  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       159     91      0.5635  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       160     92      0.5461  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       161     80      0.5628  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       162     86      0.6491  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       163     92      0.5386  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       164     86      0.5767  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       165     88      0.5623  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       166     82      0.5341  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       167     88      0.5187  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       168     87      0.5135  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       169     69      0.5183  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       170     87      0.5347  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       171     -99     0.5044  0.0000
MountainCarContinuous-v0 md38313    PPMP      0       172     -95     0.5000  0.0000
