Environment                   Seed       Algorithm   Error  Episode  Reward  Feedback
Pendulum-v0                   dw88153    DCOACH      0      0        -1378   0.0000
Pendulum-v0                   dw88153    DCOACH      0      1        -1297   0.0000
Pendulum-v0                   dw88153    DCOACH      0      2        -1194   0.0200
Pendulum-v0                   dw88153    DCOACH      0      3        -1310   0.0950
Pendulum-v0                   dw88153    DCOACH      0      4        -1467   0.1000
Pendulum-v0                   dw88153    DCOACH      0      5        -917    0.2550
Pendulum-v0                   dw88153    DCOACH      0      6        -867    0.4250
Pendulum-v0                   dw88153    DCOACH      0      7        -1013   0.6800
Pendulum-v0                   dw88153    DCOACH      0      8        -699    0.6200
Pendulum-v0                   dw88153    DCOACH      0      9        -1627   0.6900
Pendulum-v0                   dw88153    DCOACH      0      10       -1346   0.6650
Pendulum-v0                   dw88153    DCOACH      0      11       -994    0.5850
Pendulum-v0                   dw88153    DCOACH      0      12       -1355   0.5100
Pendulum-v0                   dw88153    DCOACH      0      13       -1179   0.5650
Pendulum-v0                   dw88153    DCOACH      0      14       -1015   0.5050
Pendulum-v0                   dw88153    DCOACH      0      15       -1005   0.4900
Pendulum-v0                   dw88153    DCOACH      0      16       -799    0.6450
Pendulum-v0                   dw88153    DCOACH      0      17       -918    0.5900
Pendulum-v0                   dw88153    DCOACH      0      18       -1477   0.6950
Pendulum-v0                   dw88153    DCOACH      0      19       -1189   0.5500
Pendulum-v0                   dw88153    DCOACH      0      20       -1041   0.7650
Pendulum-v0                   dw88153    DCOACH      0      21       -1014   0.4450
Pendulum-v0                   dw88153    DCOACH      0      22       -1087   0.6850
Pendulum-v0                   dw88153    DCOACH      0      23       -1169   0.6600
Pendulum-v0                   dw88153    DCOACH      0      24       -919    0.7000
Pendulum-v0                   dw88153    DCOACH      0      25       -966    0.7300
Pendulum-v0                   dw88153    DCOACH      0      26       -898    0.5300
Pendulum-v0                   dw88153    DCOACH      0      27       -931    0.6450
Pendulum-v0                   dw88153    DCOACH      0      28       -1160   0.7950
Pendulum-v0                   dw88153    DCOACH      0      29       -874    0.5550
Pendulum-v0                   dw88153    DCOACH      0      30       -1246   0.8950
Pendulum-v0                   dw88153    DCOACH      0      31       -1156   0.7300
Pendulum-v0                   dw88153    DCOACH      0      32       -1019   0.7100
Pendulum-v0                   dw88153    DCOACH      0      33       -860    0.6600
Pendulum-v0                   dw88153    DCOACH      0      34       -785    0.2150
Pendulum-v0                   dw88153    DCOACH      0      35       -929    0.3650
Pendulum-v0                   dw88153    DCOACH      0      36       -1021   0.3450
