Environment                   Seed       Algorithm   Error  Episode  Reward  Feedback
Pendulum-v0                   js45210    DCOACH      0      0        -1335   0.4750
Pendulum-v0                   js45210    DCOACH      0      1        -1055   0.4550
Pendulum-v0                   js45210    DCOACH      0      2        -1047   0.2350
Pendulum-v0                   js45210    DCOACH      0      3        -920    0.3300
Pendulum-v0                   js45210    DCOACH      0      4        -1172   0.7850
Pendulum-v0                   js45210    DCOACH      0      5        -1027   0.7500
Pendulum-v0                   js45210    DCOACH      0      6        -927    0.8150
Pendulum-v0                   js45210    DCOACH      0      7        -1009   0.9600
Pendulum-v0                   js45210    DCOACH      0      8        -1233   1.0000
Pendulum-v0                   js45210    DCOACH      0      9        -1443   0.9300
Pendulum-v0                   js45210    DCOACH      0      10       -1338   0.8400
Pendulum-v0                   js45210    DCOACH      0      11       -1109   0.9150
Pendulum-v0                   js45210    DCOACH      0      12       -1055   0.9500
Pendulum-v0                   js45210    DCOACH      0      13       -915    0.9100
Pendulum-v0                   js45210    DCOACH      0      14       -1058   0.8650
Pendulum-v0                   js45210    DCOACH      0      15       -1030   0.7150
Pendulum-v0                   js45210    DCOACH      0      16       -952    0.5800
Pendulum-v0                   js45210    DCOACH      0      17       -830    0.5550
Pendulum-v0                   js45210    DCOACH      0      18       -1047   0.8250
Pendulum-v0                   js45210    DCOACH      0      19       -1104   0.9750
Pendulum-v0                   js45210    DCOACH      0      20       -924    0.6100
Pendulum-v0                   js45210    DCOACH      0      21       -986    0.4900
Pendulum-v0                   js45210    DCOACH      0      22       -702    0.4300
Pendulum-v0                   js45210    DCOACH      0      23       -962    0.7450
Pendulum-v0                   js45210    DCOACH      0      24       -993    0.5000
Pendulum-v0                   js45210    DCOACH      0      25       -1039   0.7700
Pendulum-v0                   js45210    DCOACH      0      26       -788    0.6400
Pendulum-v0                   js45210    DCOACH      0      27       -919    0.6350
Pendulum-v0                   js45210    DCOACH      0      28       -1070   0.6300
Pendulum-v0                   js45210    DCOACH      0      29       -946    0.7300
Pendulum-v0                   js45210    DCOACH      0      30       -925    0.8050
Pendulum-v0                   js45210    DCOACH      0      31       -1207   0.9100
Pendulum-v0                   js45210    DCOACH      0      32       -1517   0.9000
Pendulum-v0                   js45210    DCOACH      0      33       -1221   0.8850
Pendulum-v0                   js45210    DCOACH      0      34       -1145   0.9250
Pendulum-v0                   js45210    DCOACH      0      35       -889    0.8150
Pendulum-v0                   js45210    DCOACH      0      36       -1044   0.9500
Pendulum-v0                   js45210    DCOACH      0      37       -1497   0.9350
Pendulum-v0                   js45210    DCOACH      0      38       -1479   0.7300
Pendulum-v0                   js45210    DCOACH      0      39       -886    0.3650
Pendulum-v0                   js45210    DCOACH      0      40       -1031   0.4900
Pendulum-v0                   js45210    DCOACH      0      41       -919    0.8050
Pendulum-v0                   js45210    DCOACH      0      42       -1036   0.7100
Pendulum-v0                   js45210    DCOACH      0      43       -1501   0.8200
Pendulum-v0                   js45210    DCOACH      0      44       -918    0.6550
Pendulum-v0                   js45210    DCOACH      0      45       -757    0.3600
Pendulum-v0                   js45210    DCOACH      0      46       -989    0.8400
Pendulum-v0                   js45210    DCOACH      0      47       -913    0.8050
Pendulum-v0                   js45210    DCOACH      0      48       -1501   0.5400
Pendulum-v0                   js45210    DCOACH      0      49       -848    0.3200
Pendulum-v0                   js45210    DCOACH      0      50       -1200   0.5400
Pendulum-v0                   js45210    DCOACH      0      51       -896    0.3200
Pendulum-v0                   js45210    DCOACH      0      52       -887    0.1550
