Environment                   Seed       Algorithm   Error  Episode  Reward  Feedback
Pendulum-v0                   rb68310    DCOACH      0      0        -1205   0.7050
Pendulum-v0                   rb68310    DCOACH      0      1        -1505   0.5650
Pendulum-v0                   rb68310    DCOACH      0      2        -1268   0.7500
Pendulum-v0                   rb68310    DCOACH      0      3        -1294   0.6850
Pendulum-v0                   rb68310    DCOACH      0      4        -1250   0.7550
Pendulum-v0                   rb68310    DCOACH      0      5        -1272   0.6850
Pendulum-v0                   rb68310    DCOACH      0      6        -1238   0.6000
Pendulum-v0                   rb68310    DCOACH      0      7        -1195   0.8750
Pendulum-v0                   rb68310    DCOACH      0      8        -1287   0.6150
Pendulum-v0                   rb68310    DCOACH      0      9        -1177   0.7600
Pendulum-v0                   rb68310    DCOACH      0      10       -1400   0.7450
Pendulum-v0                   rb68310    DCOACH      0      11       -1160   0.7950
Pendulum-v0                   rb68310    DCOACH      0      12       -1240   0.5850
Pendulum-v0                   rb68310    DCOACH      0      13       -891    0.6300
Pendulum-v0                   rb68310    DCOACH      0      14       -1044   0.6450
Pendulum-v0                   rb68310    DCOACH      0      15       -1159   0.7200
Pendulum-v0                   rb68310    DCOACH      0      16       -1145   0.6900
Pendulum-v0                   rb68310    DCOACH      0      17       -1160   0.7050
Pendulum-v0                   rb68310    DCOACH      0      18       -1520   0.8100
Pendulum-v0                   rb68310    DCOACH      0      19       -962    0.8200
Pendulum-v0                   rb68310    DCOACH      0      20       -956    0.7900
Pendulum-v0                   rb68310    DCOACH      0      21       -1096   0.9000
Pendulum-v0                   rb68310    DCOACH      0      22       -1528   0.9600
Pendulum-v0                   rb68310    DCOACH      0      23       -1108   0.7900
Pendulum-v0                   rb68310    DCOACH      0      24       -1131   0.7500
Pendulum-v0                   rb68310    DCOACH      0      25       -1147   0.7800
Pendulum-v0                   rb68310    DCOACH      0      26       -1198   0.7950
Pendulum-v0                   rb68310    DCOACH      0      27       -1067   0.7800
Pendulum-v0                   rb68310    DCOACH      0      28       -921    0.6300
Pendulum-v0                   rb68310    DCOACH      0      29       -1064   0.7900
Pendulum-v0                   rb68310    DCOACH      0      30       -952    0.8000
Pendulum-v0                   rb68310    DCOACH      0      31       -1106   0.6750
Pendulum-v0                   rb68310    DCOACH      0      32       -1507   0.6500
Pendulum-v0                   rb68310    DCOACH      0      33       -1659   0.7900
Pendulum-v0                   rb68310    DCOACH      0      34       -1635   0.6600
Pendulum-v0                   rb68310    DCOACH      0      35       -1084   0.8350
Pendulum-v0                   rb68310    DCOACH      0      36       -1177   0.7800
Pendulum-v0                   rb68310    DCOACH      0      37       -1266   0.6350
Pendulum-v0                   rb68310    DCOACH      0      38       -1323   0.5150
Pendulum-v0                   rb68310    DCOACH      0      39       -1118   0.7050
Pendulum-v0                   rb68310    DCOACH      0      40       -1076   0.5500
Pendulum-v0                   rb68310    DCOACH      0      41       -1145   0.5800
Pendulum-v0                   rb68310    DCOACH      0      42       -1263   0.6500
Pendulum-v0                   rb68310    DCOACH      0      43       -1187   0.3150
Pendulum-v0                   rb68310    DCOACH      0      44       -1253   0.5150
Pendulum-v0                   rb68310    DCOACH      0      45       -1199   0.6000
Pendulum-v0                   rb68310    DCOACH      0      46       -1233   0.4600
Pendulum-v0                   rb68310    DCOACH      0      47       -1249   0.4550
Pendulum-v0                   rb68310    DCOACH      0      48       -1086   0.5400
Pendulum-v0                   rb68310    DCOACH      0      49       -1191   0.5750
Pendulum-v0                   rb68310    DCOACH      0      50       -1130   0.4400
Pendulum-v0                   rb68310    DCOACH      0      51       -1053   0.3200
Pendulum-v0                   rb68310    DCOACH      0      52       -1178   0.4000
Pendulum-v0                   rb68310    DCOACH      0      53       -1215   0.5700
Pendulum-v0                   rb68310    DCOACH      0      54       -1172   0.6200
Pendulum-v0                   rb68310    DCOACH      0      55       -1274   0.5500
Pendulum-v0                   rb68310    DCOACH      0      56       -1374   0.6800
Pendulum-v0                   rb68310    DCOACH      0      57       -1138   0.2600
Pendulum-v0                   rb68310    DCOACH      0      58       -1245   0.3600
Pendulum-v0                   rb68310    DCOACH      0      59       -1001   0.3550
Pendulum-v0                   rb68310    DCOACH      0      60       -792    0.4100
Pendulum-v0                   rb68310    DCOACH      0      61       -1249   0.7350
Pendulum-v0                   rb68310    DCOACH      0      62       -985    0.8550
Pendulum-v0                   rb68310    DCOACH      0      63       -935    0.6250
Pendulum-v0                   rb68310    DCOACH      0      64       -1334   0.1200
Pendulum-v0                   rb68310    DCOACH      0      65       -1140   0.0000
Pendulum-v0                   rb68310    DCOACH      0      66       -1144   0.0000
