Environment,Control,Episode,Reward
LunarLanderContinuous-v2,none,0,-178
LunarLanderContinuous-v2,none,1,-126
LunarLanderContinuous-v2,none,2,-676
LunarLanderContinuous-v2,none,3,-665
LunarLanderContinuous-v2,none,4,-493
LunarLanderContinuous-v2,none,5,-825
LunarLanderContinuous-v2,none,6,-598
LunarLanderContinuous-v2,none,7,-451
LunarLanderContinuous-v2,none,8,-1131
LunarLanderContinuous-v2,none,9,-605
LunarLanderContinuous-v2,none,10,-490
LunarLanderContinuous-v2,none,11,-922
LunarLanderContinuous-v2,none,12,-465
LunarLanderContinuous-v2,none,13,-504
LunarLanderContinuous-v2,none,14,-576
LunarLanderContinuous-v2,none,15,-556
LunarLanderContinuous-v2,none,16,-409
LunarLanderContinuous-v2,none,17,-202
LunarLanderContinuous-v2,none,18,-215
LunarLanderContinuous-v2,none,19,-160
LunarLanderContinuous-v2,none,20,-353
LunarLanderContinuous-v2,none,21,-276
LunarLanderContinuous-v2,none,22,-69
LunarLanderContinuous-v2,none,23,-167
LunarLanderContinuous-v2,none,24,-269
LunarLanderContinuous-v2,none,25,-179
LunarLanderContinuous-v2,none,26,-214
LunarLanderContinuous-v2,none,27,-51
LunarLanderContinuous-v2,none,28,-216
LunarLanderContinuous-v2,none,29,-206
LunarLanderContinuous-v2,none,30,-312
LunarLanderContinuous-v2,none,31,-161
LunarLanderContinuous-v2,none,32,-174
LunarLanderContinuous-v2,none,33,-193
LunarLanderContinuous-v2,none,34,-157
LunarLanderContinuous-v2,none,35,-193
LunarLanderContinuous-v2,none,36,-167
LunarLanderContinuous-v2,none,37,-185
LunarLanderContinuous-v2,none,38,-187
LunarLanderContinuous-v2,none,39,-158
LunarLanderContinuous-v2,none,40,-193
LunarLanderContinuous-v2,none,41,-173
LunarLanderContinuous-v2,none,42,-168
LunarLanderContinuous-v2,none,43,-159
LunarLanderContinuous-v2,none,44,-169
LunarLanderContinuous-v2,none,45,-193
LunarLanderContinuous-v2,none,46,-160
LunarLanderContinuous-v2,none,47,-176
LunarLanderContinuous-v2,none,48,-195
LunarLanderContinuous-v2,none,49,-180
LunarLanderContinuous-v2,none,50,-159
LunarLanderContinuous-v2,none,51,-143
LunarLanderContinuous-v2,none,52,-170
LunarLanderContinuous-v2,none,53,-164
LunarLanderContinuous-v2,none,54,-148
LunarLanderContinuous-v2,none,55,-182
LunarLanderContinuous-v2,none,56,-172
LunarLanderContinuous-v2,none,57,-156
LunarLanderContinuous-v2,none,58,-167
LunarLanderContinuous-v2,none,59,-178
LunarLanderContinuous-v2,none,60,-175
LunarLanderContinuous-v2,none,61,-184
LunarLanderContinuous-v2,none,62,-194
LunarLanderContinuous-v2,none,63,-153
LunarLanderContinuous-v2,none,64,-164
LunarLanderContinuous-v2,none,65,-175
LunarLanderContinuous-v2,none,66,-181
LunarLanderContinuous-v2,none,67,-190
LunarLanderContinuous-v2,none,68,-150
LunarLanderContinuous-v2,none,69,-177
LunarLanderContinuous-v2,none,70,-166
LunarLanderContinuous-v2,none,71,-161
LunarLanderContinuous-v2,none,72,-152
LunarLanderContinuous-v2,none,73,-131
LunarLanderContinuous-v2,none,74,-136
