Environment              	  Seed       Control  Tau    Error Q_bias    Episode  Reward  Gain   Feedback
Pendulum-v0                   082199316  kalman   0.5    0     0.2       1        -875    2.6186 0.2350
Pendulum-v0                   082199316  kalman   0.5    0     0.2       2        -1109   2.6984 0.2600
Pendulum-v0                   082199316  kalman   0.5    0     0.2       3        -897    2.9815 0.2600
Pendulum-v0                   082199316  kalman   0.5    0     0.2       4        -1410   2.9610 0.2250
Pendulum-v0                   082199316  kalman   0.5    0     0.2       5        -1611   2.8160 0.1750
Pendulum-v0                   082199316  kalman   0.5    0     0.2       6        -1598   2.5543 0.1550
Pendulum-v0                   082199316  kalman   0.5    0     0.2       7        -1551   2.5090 0.2300
Pendulum-v0                   082199316  kalman   0.5    0     0.2       8        -1505   2.4455 0.2500
Pendulum-v0                   082199316  kalman   0.5    0     0.2       9        -1526   2.1833 0.2200
Pendulum-v0                   082199316  kalman   0.5    0     0.2       10       -1693   2.0881 0.2000
Pendulum-v0                   082199316  kalman   0.5    0     0.2       11       -1606   1.8893 0.2100
Pendulum-v0                   082199316  kalman   0.5    0     0.2       12       -1276   1.6990 0.1550
Pendulum-v0                   082199316  kalman   0.5    0     0.2       13       -1512   1.6039 0.1850
Pendulum-v0                   082199316  kalman   0.5    0     0.2       14       -1413   1.3962 0.1200
Pendulum-v0                   082199316  kalman   0.5    0     0.2       15       -1117   1.3106 0.1000
Pendulum-v0                   082199316  kalman   0.5    0     0.2       16       -1191   1.3214 0.1550
Pendulum-v0                   082199316  kalman   0.5    0     0.2       17       -641    2.0840 0.2050
Pendulum-v0                   082199316  kalman   0.5    0     0.2       18       -664    2.0522 0.1400
Pendulum-v0                   082199316  kalman   0.5    0     0.2       19       -752    2.0471 0.0950
Pendulum-v0                   082199316  kalman   0.5    0     0.2       20       -515    2.2142 0.1050
Pendulum-v0                   082199316  kalman   0.5    0     0.2       21       -415    2.4339 0.1800
Pendulum-v0                   082199316  kalman   0.5    0     0.2       22       -612    2.2203 0.1700
Pendulum-v0                   082199316  kalman   0.5    0     0.2       23       -129    2.7872 0.1900
Pendulum-v0                   082199316  kalman   0.5    0     0.2       24       -268    2.6212 0.1100
Pendulum-v0                   082199316  kalman   0.5    0     0.2       25       -1284   1.1613 0.0950
Pendulum-v0                   082199316  kalman   0.5    0     0.2       26       -906    1.4858 0.0900
Pendulum-v0                   082199316  kalman   0.5    0     0.2       27       -510    1.8220 0.0450
Pendulum-v0                   082199316  kalman   0.5    0     0.2       28       -976    1.4285 0.0700
Pendulum-v0                   082199316  kalman   0.5    0     0.2       29       -138    2.8232 0.1300
Pendulum-v0                   082199316  kalman   0.5    0     0.2       30       -136    2.7786 0.0900
Pendulum-v0                   082199316  kalman   0.5    0     0.2       31       -134    2.4746 0.0750
Pendulum-v0                   082199316  kalman   0.5    0     0.2       32       -288    2.3362 0.1100
Pendulum-v0                   082199316  kalman   0.5    0     0.2       33       -255    2.4844 0.0900
Pendulum-v0                   082199316  kalman   0.5    0     0.2       34       -129    2.6618 0.1050
Pendulum-v0                   082199316  kalman   0.5    0     0.2       35       -2      2.9225 0.1350
Pendulum-v0                   082199316  kalman   0.5    0     0.2       36       0       2.9632 0.0550
Pendulum-v0                   082199316  kalman   0.5    0     0.2       37       -123    2.7666 0.0300
Pendulum-v0                   082199316  kalman   0.5    0     0.2       38       -3      2.8922 0.0150
Pendulum-v0                   082199316  kalman   0.5    0     0.2       39       -243    2.6292 0.1000
Pendulum-v0                   082199316  kalman   0.5    0     0.2       40       -126    2.7951 0.1450
Pendulum-v0                   082199316  kalman   0.5    0     0.2       41       -246    2.3909 0.1500
Pendulum-v0                   082199316  kalman   0.5    0     0.2       42       -246    2.6072 0.0350
Pendulum-v0                   082199316  kalman   0.5    0     0.2       43       -244    2.6839 0.0950
Pendulum-v0                   082199316  kalman   0.5    0     0.2       44       -116    2.8497 0.0850
Pendulum-v0                   082199316  kalman   0.5    0     0.2       45       -356    2.5240 0.0600
Pendulum-v0                   082199316  kalman   0.5    0     0.2       46       -247    2.5802 0.0750
Pendulum-v0                   082199316  kalman   0.5    0     0.2       47       -366    2.4265 0.1100
Pendulum-v0                   082199316  kalman   0.5    0     0.2       48       -1      2.8610 0.0950
Pendulum-v0                   082199316  kalman   0.5    0     0.2       49       -252    2.2506 0.1350
Pendulum-v0                   082199316  kalman   0.5    0     0.2       50       -128    2.7814 0.0800
Pendulum-v0                   082199316  kalman   0.5    0     0.2       51       -2      2.7046 0.1350
Pendulum-v0                   082199316  kalman   0.5    0     0.2       52       -348    2.5278 0.0700
Pendulum-v0                   082199316  kalman   0.5    0     0.2       53       -253    2.4464 0.0900
Pendulum-v0                   082199316  kalman   0.5    0     0.2       54       -5      2.4783 0.0900
Pendulum-v0                   082199316  kalman   0.5    0     0.2       55       -120    2.6647 0.1000
Pendulum-v0                   082199316  kalman   0.5    0     0.2       56       -363    2.3696 0.0500
Pendulum-v0                   082199316  kalman   0.5    0     0.2       57       -124    2.5950 0.1100
Pendulum-v0                   082199316  kalman   0.5    0     0.2       58       -116    2.6148 0.0500
Pendulum-v0                   082199316  kalman   0.5    0     0.2       59       -125    2.5912 0.1050
Pendulum-v0                   082199316  kalman   0.5    0     0.2       60       -240    2.4612 0.0950
Pendulum-v0                   082199316  kalman   0.5    0     0.2       61       -122    2.6831 0.0500
Pendulum-v0                   082199316  kalman   0.5    0     0.2       62       0       2.7748 0.0600
Pendulum-v0                   082199316  kalman   0.5    0     0.2       63       -122    2.6934 0.0400
Pendulum-v0                   082199316  kalman   0.5    0     0.2       64       -122    2.7696 0.0850
Pendulum-v0                   082199316  kalman   0.5    0     0.2       65       -118    2.6944 0.1150
Pendulum-v0                   082199316  kalman   0.5    0     0.2       66       -123    2.8170 0.0850
Pendulum-v0                   082199316  kalman   0.5    0     0.2       67       -341    2.5823 0.0750
Pendulum-v0                   082199316  kalman   0.5    0     0.2       68       -1      2.8100 0.0950
Pendulum-v0                   082199316  kalman   0.5    0     0.2       69       -125    2.8402 0.0450
Pendulum-v0                   082199316  kalman   0.5    0     0.2       70       -117    2.8308 0.0500
Pendulum-v0                   082199316  kalman   0.5    0     0.2       71       -124    2.8587 0.0250
Pendulum-v0                   082199316  kalman   0.5    0     0.2       72       -125    2.7805 0.0550
Pendulum-v0                   082199316  kalman   0.5    0     0.2       73       -126    2.7975 0.0300
Pendulum-v0                   082199316  kalman   0.5    0     0.2       74       -1      2.9607 0.0250
Pendulum-v0                   082199316  kalman   0.5    0     0.2       75       -119    2.8163 0.0750
Pendulum-v0                   082199316  kalman   0.5    0     0.2       76       -1      2.8848 0.0750
Pendulum-v0                   082199316  kalman   0.5    0     0.2       77       -346    2.5221 0.0550
Pendulum-v0                   082199316  kalman   0.5    0     0.2       78       -242    2.7291 0.0650
Pendulum-v0                   082199316  kalman   0.5    0     0.2       79       -119    2.8737 0.0700
Pendulum-v0                   082199316  kalman   0.5    0     0.2       80       -245    2.5690 0.0200
Pendulum-v0                   082199316  kalman   0.5    0     0.2       81       -119    2.9088 0.0500
Pendulum-v0                   082199316  kalman   0.5    0     0.2       82       -124    2.8006 0.0400
Pendulum-v0                   082199316  kalman   0.5    0     0.2       83       -118    2.8606 0.0400
Pendulum-v0                   082199316  kalman   0.5    0     0.2       84       -120    2.8461 0.0850
Pendulum-v0                   082199316  kalman   0.5    0     0.2       85       -358    2.5721 0.0450
Pendulum-v0                   082199316  kalman   0.5    0     0.2       86       -120    2.8456 0.0650
Pendulum-v0                   082199316  kalman   0.5    0     0.2       87       -118    2.8929 0.0300
Pendulum-v0                   082199316  kalman   0.5    0     0.2       88       -2      2.9087 0.0150
Pendulum-v0                   082199316  kalman   0.5    0     0.2       89       -371    2.4411 0.0400
Pendulum-v0                   082199316  kalman   0.5    0     0.2       90       -123    2.9090 0.0250
Pendulum-v0                   082199316  kalman   0.5    0     0.2       91       -121    2.9147 0.0100
Pendulum-v0                   082199316  kalman   0.5    0     0.2       92       -297    2.7502 0.0250
Pendulum-v0                   082199316  kalman   0.5    0     0.2       93       -121    2.9041 0.0200
Pendulum-v0                   082199316  kalman   0.5    0     0.2       94       -114    2.8883 0.0150
Pendulum-v0                   082199316  kalman   0.5    0     0.2       95       -2      2.9730 0.0200
Pendulum-v0                   082199316  kalman   0.5    0     0.2       96       -3      2.9780 0.0100
Pendulum-v0                   082199316  kalman   0.5    0     0.2       97       -121    2.9128 0.0050
Pendulum-v0                   082199316  kalman   0.5    0     0.2       98       -242    2.7407 0.0100
Pendulum-v0                   185611103  kalman   0.5    0     0.2       0        -623    2.3733 0.2450
Pendulum-v0                   185611103  kalman   0.5    0     0.2       1        -732    1.9847 0.2300
Pendulum-v0                   185611103  kalman   0.5    0     0.2       2        -1385   2.7523 0.2600
Pendulum-v0                   185611103  kalman   0.5    0     0.2       3        -1725   2.9611 0.2550
Pendulum-v0                   185611103  kalman   0.5    0     0.2       4        -1398   2.9857 0.2000
Pendulum-v0                   185611103  kalman   0.5    0     0.2       5        -1524   2.9204 0.1400
Pendulum-v0                   185611103  kalman   0.5    0     0.2       6        -1505   2.2581 0.1650
Pendulum-v0                   185611103  kalman   0.5    0     0.2       7        -1382   1.8679 0.1600
Pendulum-v0                   185611103  kalman   0.5    0     0.2       8        -1309   1.7867 0.1450
Pendulum-v0                   185611103  kalman   0.5    0     0.2       9        -1517   1.5074 0.2250
Pendulum-v0                   185611103  kalman   0.5    0     0.2       10       -1496   1.5199 0.1750
Pendulum-v0                   185611103  kalman   0.5    0     0.2       11       -1413   1.4321 0.1500
Pendulum-v0                   185611103  kalman   0.5    0     0.2       12       -1274   1.3996 0.1100
Pendulum-v0                   185611103  kalman   0.5    0     0.2       13       -1361   1.6205 0.1250
Pendulum-v0                   185611103  kalman   0.5    0     0.2       14       -903    1.6347 0.1000
Pendulum-v0                   185611103  kalman   0.5    0     0.2       15       -954    1.6679 0.1650
Pendulum-v0                   185611103  kalman   0.5    0     0.2       16       -1117   1.7239 0.1050
Pendulum-v0                   185611103  kalman   0.5    0     0.2       17       -1246   2.2157 0.1300
Pendulum-v0                   185611103  kalman   0.5    0     0.2       18       -1195   2.1005 0.1900
Pendulum-v0                   185611103  kalman   0.5    0     0.2       19       -428    2.4417 0.1250
Pendulum-v0                   185611103  kalman   0.5    0     0.2       20       -1367   1.8728 0.1150
Pendulum-v0                   185611103  kalman   0.5    0     0.2       21       -1095   1.6082 0.1550
Pendulum-v0                   185611103  kalman   0.5    0     0.2       22       -1177   1.5604 0.1350
Pendulum-v0                   185611103  kalman   0.5    0     0.2       23       -1265   1.6006 0.1400
